station.id;lat;long;info
guelpe;52.73339;12.21166;Ökologische Station Gülpe  <br><a href =~#ökologische-station-gülpe~>Mehr Infos</a>
rees;51.79955;6.36498;Ökologische Forschungsstation Rees <br><a href =~#forschungsstation-rees~>Mehr Infos</a>
Carolienensiel;53.696979;7.758507;Meeresbiologische Wattstation Carolinensiel  <br><a href =~#wattstation-carolinensiel~>Mehr Infos</a>
Pevestorf;53.0576642812386;11.4546302791683;Elbauenstation Pevestorf <br><a href =~#elbauenstation-pevestorf~>Mehr Infos</a>
FauleOrt;53.418153;12.822378;Biologische Station Faule Ort <br><a href =~#biologische-station-faule-ort~>Mehr Infos</a>
Helgoland;54.183055;7.888693;Meeresstation Helgoland<br><a href =~#meeresstation-helgoland~>Mehr Infos</a>
Sylt;55.0212318;8.437789;Wattenmeerstation Sylt<br><a href =~#wattenmeerstation-sylt~>Mehr Infos</a>
Zingst;54.430259;12.68608;Biologische Station Zingst <br><a href =~#biologische-station-zingst~>Mehr Infos</a>
Federsee;48.069511;9.609364;Federseestation<br><a href =~#federseestation~>Mehr Infos</a>
Seeon;47.974586;12.460131;Limnologische Forschungsstation Seeon<br><a href =~#forschungsstation-seeon~>Mehr Infos</a>
Britz;52.877361;13.834694;Intensivmonitoringfläche Britz <br><a href =~#intensivmonitoringfläche-britz~>Mehr Infos</a>
Stechlinsee;53.14174;13.03073;IGB am Stechlinsee <br><a href =~#igb-stechlin~>Mehr Infos</a>
Eußerthal;49.254322;7.961636;Ökosystemforschung Anlage Eußerthal <br><a href =~#forschungsstation-eußerthal~>Mehr Infos</a>
Badsaarow;52.29211;14.050689;Forschungsstation für Gewässerökologie Bad Saarow<br><a href =~#forschungsstation-bad-saarow~>Mehr Infos</a>
Hiddensee;54.585808;13.103536;Biologische Station Hiddensee<br><a href =~#biologische-station-hiddensee~>Mehr Infos</a>
